name,topic,policy_statement,stance_score,quote
Heidi Almonte ,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,"Our largest cost is health & social care, one of my major passions. We need as a society to take more responsibility for our bodies, they are our most precious asset."
Heidi Almonte ,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",1,"Is the foundation for life, we need to encourage all our students to maximise their potential, with quality teachers, so students leave with a good grounding for life."
Heidi Almonte ,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"The challenge is, there is not enough money in the pot, yet we need to invest in infrastructure. I'm good at balancing the books and I hate waste."
Heidi Almonte ,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,"The finance industry drives our economy. We have to remain competitive with relevant regulation, facilitating and assisting the finance industry."
Heidi Almonte ,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",1,"Encouraging home grown employees for Finance, Health Care & Building Trades."
Heidi Almonte ,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,"We must ensure reliable connectivity for us, for our Businesses and for Tourism. More passengers help our economy + maintain our links."
Heidi Almonte ,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",2,"Supporting Charities - 680 Reg. Charities & NPOs in our Bailiwick, which vastly contribute to our society, for instance Guernsey Mind, Grow Ltd, Autism Guernsey & Guernsey Alzheimer's Assoc. are invaluable."
Heidi Almonte ,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"We need deputies with common sense, with lived lives & experience to know what is best and what is empty promises, to know what has and hasn't worked and how we can move forward swiftly."
Heidi Almonte ,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",1,"Many people dread traffic daily. Whilst a car is essential for most, many could truly enjoy walking or cycling more, enjoying our surrounding beauty whilst easing the traffic for others, not having to worry about finding a parking space and improving health naturally whilst helping the environment."
Kerry Barnfather,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",0,No specific stance on housing was mentioned in the text.
Kerry Barnfather,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",0,No specific stance on healthcare was mentioned in the text.
Kerry Barnfather,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",0,No specific stance on education was mentioned in the text.
Kerry Barnfather,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,I’m hoping that by standing in this election I have an element of control on how much tax I will be liable to pay on my hard earned money.
Kerry Barnfather,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,I know first hand the risks and rewards to running my own business.
Kerry Barnfather,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",0,No specific stance on employment and skills was mentioned in the text.
Kerry Barnfather,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",0,No specific stance on transport and connectivity was mentioned in the text.
Kerry Barnfather,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",1,"But more than just home, it’s a place I love, that feels safe to me, where folks still care for the welfare of others and quality of life is good."
Kerry Barnfather,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,I’m ready to fight for principles that are fair and represent the people who will be affected by them.
Kerry Barnfather,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",0,No specific stance on environment and sustainability was mentioned in the text.
Yvonne Burford,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"Housing and population go hand in hand. Recent relaxations in population policy have made it even harder for local residents, especially young people, to afford homes - whether buying or renting. We need much smarter population policies that balance the needs of islanders with welcoming truly essential workers who we can’t recruit locally. If we don’t manage this situation, we risk a permanent housing crisis and people feeling forced to leave."
Yvonne Burford,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,"As a deputy, I have made progress by advocating for a greater move towards preventative care, by investment in early intervention and health improvement. The evidence is clear: without this we risk the level of healthcare we currently enjoy, which represents nearly 40% of the States budget, becoming simply unaffordable. If elected I will keep pressing for meaningful progress in this area for both physical and mental health issues."
Yvonne Burford,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",1,"Education was the top issue in 2020 with the Pause and Review, but after the election the review was dropped, and a majority of the States approved an expensive four-building model. Four years on, this has resulted in our Sixth Form students being housed indefinitely at La Mare from this September. I didn’t vote for this, but I don’t think we should make further big changes now - our children and teachers have had enough disruption."
Yvonne Burford,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"A thriving economy is vital. Making efficiencies and savings in our public sector should be a continual process, including listening to frontline staff - they often know best where savings and improvements can be made. Even with savings, we’ll still need to raise money for healthcare, infrastructure investment, and rebuilding our rainy-day fund, which are the three things driving the deficit. My voting record shows that I always support those who are less well-off. There’ll be lots of tax ideas at this election, some better thought through than others, but my promise to you is simple: I’ll only back fair tax changes that protect or improve things for low and middle earners, who are already under pressure."
Yvonne Burford,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,"A thriving economy is vital. Making efficiencies and savings in our public sector should be a continual process, including listening to frontline staff - they often know best where savings and improvements can be made. Even with savings, we’ll still need to raise money for healthcare, infrastructure investment, and rebuilding our rainy-day fund, which are the three things driving the deficit."
Yvonne Burford,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",1,Promoting and supporting lifelong learning and skills development is also key to helping islanders adapt to a changing economy.
Yvonne Burford,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",0,No specific stance or quote found in the text provided.
Yvonne Burford,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",2,"Guernsey’s charities and volunteers are the heartbeat of our island, tirelessly and selflessly supporting everything from youth programmes to elderly care, as well as our amazing environment. They strengthen our community and fill vital gaps with practical help, solutions and compassion. The States has an important role to play in supporting them and the work they do, particularly by committing to multi-year contracts that allow charities to plan ahead."
Yvonne Burford,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",2,"I believe in a government that is transparent, responsive, and focused on working for you. If what I stand for resonates, I’d be truly grateful for one of your 38 votes. Let’s work together to make Guernsey the best it can be – for everyone!"
Yvonne Burford,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",2,"As a past president of La Société Guernesiaise, I keenly understand the importance of protecting our natural environment. In an earlier term, I successfully steered the Biodiversity Strategy through the States. I will continue to prioritise brown field development to protect our green and open spaces."
Tina Bury,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",1,"There’s no quick fix to the housing crisis — if there were, it would have been done by now. But progress is possible with stronger collaboration. A huge amount of groundwork has gone into the Guernsey Housing Plan. It’s a vital foundation — and to make it work, we need closer communication between government and industry."
Tina Bury,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,"At the start of this term, I pushed for mental health to be taken seriously. It wasn’t flashy or headline-grabbing — just steady, persistent pressure until a review was finally launched. Too many people were falling through the cracks. When mental health is overlooked, people suffer, and we owe it to them to do better."
Tina Bury,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",1,"I brought an amendment calling for the proper comparison of secondary school models to be done - so decisions could be based on evidence, not assumptions. Big decisions about education need transparency, without open scrutiny we risk eroding trust."
Tina Bury,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"The weight of funding essential services can’t keep falling on the same shoulders. I support practical, fair tax solutions, that may mean GST, but first I want to see corporate tax reform and the closure of income tax loopholes. Everyone should contribute their fair share."
Tina Bury,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",0,No specific stance on economy and business was found in the candidate's text.
Tina Bury,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",1,"I speak up for people who often get overlooked, especially those struggling to be heard. I do the research, take the notes, and turn up informed — even when no one’s watching."
Tina Bury,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",0,No specific stance on transport and connectivity was found in the candidate's text.
Tina Bury,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",2,"Right now, young people are paying into a system that may not be there for them. That’s not fair, and it’s not sustainable. We need an honest, grown-up conversation about how we fund long term care across generations."
Tina Bury,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"When I saw how much some candidates were spending just to get elected, I knew it wasn’t right, I challenged it. If standing for election costs thousands, only the wealthy can afford to run. That excludes people from all backgrounds representing their communities, and that’s not democracy."
Tina Bury,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",0,No specific stance on environment and sustainability was found in the candidate's text.
Andy Cameron,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"Housing will be our top priority next term. To meet demand, we must embrace modern methods of construction... Once we clear the bottleneck, it’s essential that we deliver the affordable housing we already know is urgently needed. We also need to significantly expand the provision of sheltered accommodation, enabling our growing ageing population to live independently, safely, and with dignity for longer."
Andy Cameron,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",1,Improve pay and conditions for nurses and teachers to match agency rates. Maintain investment in sport and preventative healthcare
Andy Cameron,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",2,"Doubling the free Early Years Education entitlement from 15 to 30 hours is one of the smartest investments we can make—for families, the economy, and Guernsey’s future... This isn’t just about childcare—it’s about educational quality, social equity, and economic resilience."
Andy Cameron,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,Set up a commission to find alternatives to GST
Andy Cameron,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,Encourage and reward businesses that deliver on social and community responsibilities
Andy Cameron,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",1,"Doubling the free Early Years Education entitlement from 15 to 30 hours... allows parents to move from part-time roles into more secure, long-term employment if they choose to, helping to reduce underemployment and narrow the gender pay gap."
Andy Cameron,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",1,Improve air and sea links
Andy Cameron,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",1,Increase sheltered housing so older islanders can live independently for longer
Andy Cameron,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,Accelerate digital transformation in government and education
Andy Cameron,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",2,Fast-track renewable energy
Haley Camp,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,Tackle the housing crisis. Everyone deserves a place to call home—at every stage of life. Link migration with housing: every government-driven job increase must come with a housing plan. Support private sector building: work with the industry to remove barriers to supply. Put islanders first: housing security must be a priority at every level of planning.
Haley Camp,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",0,No specific stance on healthcare was mentioned in the candidate's text.
Haley Camp,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",2,"Raise education standards. Excellence must be something we deliver—not just promise. Stop the political squabbling: focus on student outcomes, not buildings. Cut the bureaucracy: give schools real autonomy and focus more budget at the coalface and away from the education department's control. Look outward: adopt the best of local and global education models. Connect education to careers: build pathways into real jobs through industry-led collaborations."
Haley Camp,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,My priority is to grow our economy so we can fund what Guernsey needs — without digging deeper into your pockets. Manage government spend: drive a commercial mindset and smarter financial planning.
Haley Camp,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",2,"Grow the economy. A stagnating economy and too much talk about tax, not growth, means that real action is needed in this next term: Embrace technology: plan now for AI, better energy infrastructure and true digital capacity. Reclaim our entrepreneurial spirit: create a clear message that Guernsey is open for business. Embrace our finance industry: we must be a final destination for business again—not a last resort. Regulate, don’t dominate: actively rebalance in favour of growth and commercial innovation."
Haley Camp,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",1,Connect education to careers: build pathways into real jobs through industry-led collaborations.
Haley Camp,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",0,No specific stance on transport and connectivity was mentioned in the candidate's text.
Haley Camp,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",0,No specific stance on social care and community wellbeing was mentioned in the candidate's text.
Haley Camp,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,Make government live within its means. No distractions. No drift. No vanity projects. No virtue signalling. Just four years of focused delivery. Hold government accountable. Promote collaboration.
Haley Camp,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",1,"Embrace technology: plan now for AI, better energy infrastructure and true digital capacity."
Tim Carre,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"I’m 100% confident I can fix the housing crisis in one year if the States of Guernsey relaxes one simple seemingly out of date regulation. As a Designer — Builder and ‘problem solver’, I see the answers to the housing crisis as a problem easy fixed. I have a 4-part strategy and one part of this strategy will begin easing this problem within 6 months."
Tim Carre,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",0,No specific stance on healthcare was found in the candidate's text.
Tim Carre,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",-1,"When it comes to children and education, I firmly believe there is no place for the distraction of gender ideology entering our schools. Children attend school to learn to read, write, learn mathematics and so much more. It is a sensitive, precious time in a child’s life, a child’s education must not be confused."
Tim Carre,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",-2,"No Unfair Tax Increases: - GST must remain the decision of the island and not the Deputies. Good and wise Deputies will negotiate hard on behalf of the ‘Low Income’ and the ‘Elderly’ to compensate them 100%. There must never be a direct tax increase on essentials such as supermarket food, petrol, heating, rent and electricity here in Guernsey."
Tim Carre,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,One of my suggestions is to restore a strong local horticulture industry to the island with the serious consideration of bringing back a modern ‘Guernsey Market’.
Tim Carre,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",0,No specific stance on employment & skills was found in the candidate's text.
Tim Carre,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",0,No specific stance on transport & connectivity was found in the candidate's text.
Tim Carre,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",2,Elderly Care: - We owe it to our elderly to honour our elderly with an adequate supply of good quality residential care rooms. As a Deputy I will continually address this issue of elderly care.
Tim Carre,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,We must vote for Deputies with “Vision”. Deputies determined to build a future for Guernsey. Deputies who will “Solve Problems” and not get in the way.
Tim Carre,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",1,FREE Outdoor Entertainment: - Beach BBQ Areas at all the main Beaches. FREE Sports facilities for youth FREE New Mountain Bike Park FREE Fishing clubs to train youth Life Saving Club
Garry Collins,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"We have a housing crisis, in my view created mainly by the States 2016 GP11 policy. We need to support not only the first-time buyers, but renters, pensioners trying to downsize and growing families. The States should be supporting Leales Yard not withdrawing. The Bridge area needs investment and support now."
Garry Collins,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,"The lack of funding is challenging our health committee. The States however shouldn’t be increasing waiting times, pensioners deserve better. We must also increase our mental health services; Islanders across all ages need our help now."
Garry Collins,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",2,"Our children deserve modern school buildings. We have good teachers, but sort the sixth form, get on with it and maintain our new buildings!"
Garry Collins,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",-2,"GST - NO thank you! GST will hurt the poorest and most vulnerable in our community. I support changes in corporate tax, Pillar Il might eliminate the deficit. With high cost of living now, why introduce GST in the middle of a housing crisis?"
Garry Collins,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,"I support the G8 businesses views, with action on housing, better connectivity, education/skills and use of technology. Review every penny spent. Value for money & growing our economy are still the keys to success for Guernsey."
Garry Collins,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",0,No specific stance or quote found in the text provided.
Garry Collins,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",0,No specific stance or quote found in the text provided.
Garry Collins,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",2,"I support the 5 asks from the LGBTQ+ community, ask, fair, inclusive, support."
Garry Collins,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"This term we have seen & heard toxic behaviour from our deputies; I believe this is because of party politics from the last election, we have a consensus system!"
Garry Collins,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",2,"We need cleaner and greener energy. I support the need for more trees & green spaces, maintain sea walls and stop plastic pollutions of our seas."
Tony Corbin,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",1,"I support new, fair housing solutions - smaller developments built quickly and affordably by local builders on States-supplied land, helping pensioners downsize and first-time buyers get on the ladder."
Tony Corbin,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",1,"We need financial transparency, ring-fenced budgets, and smarter spending - especially on healthcare as our population ages."
Tony Corbin,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",0,No specific stance on education was mentioned in the candidate's text.
Tony Corbin,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",-1,I do not support the introduction of a Goods and Services Tax. GST is an unfair and destabilising tax. Guernsey needs its own solutions. Our island is secure and stable - we must protect that by finding fairer ways to balance our books without overburdening our families or the younger generation.
Tony Corbin,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",1,"We must ensure local businesses a well-trained workforce, the tools, and space to grow."
Tony Corbin,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",1,"We must ensure local businesses a well-trained workforce, the tools, and space to grow."
Tony Corbin,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",0,No specific stance on transport and connectivity was mentioned in the candidate's text.
Tony Corbin,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",1,"Too many families are under immense financial pressure. I support new, fair housing solutions - smaller developments built quickly and affordably by local builders on States-supplied land, helping pensioners downsize and first-time buyers get on the ladder."
Tony Corbin,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",1,"Guernsey must reinvent how it governs and raises taxes. In an uncertain world, we need financial transparency, ring-fenced budgets, and smarter spending."
Tony Corbin,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",0,No specific stance on environment and sustainability was mentioned in the candidate's text.
Rob Curgenven,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,"Fast track plans to build upwards in select areas. With smart design we can build thousands of new homes, and free up green space, by building upwards in small pockets of St Peter Port. Introduce an ‘Essential Worker’ housing market with capped rents and secure tenure for key workers in health, education and emergency services. Apply an escalating surcharge on properties left empty for more than 12 months to bring housing back into use."
Rob Curgenven,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",0,No specific stance on healthcare was mentioned in the candidate's text.
Rob Curgenven,Education,"Supports improving access, quality, or investment in education — including the structure of secondary and post-16 education.",0,No specific stance on education was mentioned in the candidate's text.
Rob Curgenven,Taxation & Public Finance,"Supports reforms to the tax system — including introducing new taxes (e.g. GST), changing income or company tax rates, or broadening the tax base to fund public services.",1,"If plans to deal with the fiscal deficit look only at raising taxes, they are bound to fail. GST, for example, doesn’t fix the problem. It won’t provide enough funds to fill the ever-growing financial void. Instead, we will close the fiscal gap through growth, fairness and efficiency."
Rob Curgenven,Economy & Business,"Supports initiatives to stimulate the economy — including small business support, diversification, investment incentives, and economic growth policies.",2,Continue on with the wind farm project. Leasing just 6 % of our territorial waters for an offshore‐wind concession returns around £40 million a year. This is also set to create up to 200 new jobs. Position Guernsey as the premier location for responsible Artificial Intelligence and fintech by leveraging our world‐first recognition of AI agency.
Rob Curgenven,Employment & Skills,"Supports improving workforce readiness through skills training, job creation, or workforce support programmes.",1,This is also set to create up to 200 new jobs.
Rob Curgenven,Transport & Connectivity,"Supports improving transport links — including air/sea travel affordability, reliability, and access.",0,No specific stance on transport and connectivity was mentioned in the candidate's text.
Rob Curgenven,Social Care & Community Wellbeing,"Supports investment in services that protect vulnerable people — including care for the elderly, social housing, community outreach, and wellbeing programmes.",1,"I co-founded ‘Man Club’, a charity providing men with a safe, supportive environment to talk openly about their feelings and break down the walls of isolation."
Rob Curgenven,Governance & Political Reform,"Supports reforms to how government operates — including transparency, efficiency, States reform, and public engagement.",2,"Introduce a freedom of information law with teeth. This is vital for allowing the public to keep the States in check. Pass a Whistleblower Protection Ordinance. Too often hard-working public servants witness serious wrongdoing but are scared to speak out. If we are to reform the civil service, it is vital that staff are free to talk about what is going wrong."
Rob Curgenven,Environment & Sustainability,"Supports environmental protection and climate action — including conservation, energy transition, or sustainable development practices.",1,Continue on with the wind farm project. Leasing just 6 % of our territorial waters for an offshore‐wind concession returns around £40 million a year.
David De Lisle,Housing,"Supports building more affordable and accessible housing across the island, including rental and ownership options.",2,The shortage of housing must be overcome with programmes to encourage families onto the housing ladder. We must build affordable homes for local families and key workers through both public led schemes and private sector developments.
David De Lisle,Healthcare,"Supports increased funding, staffing, or reform of the healthcare system, including mental health services and primary care.",2,"Health and Social Care must focus on preventative health care to reduce the risk of premature mortality. We must provide more skilled physicians, new operating theatres and modern diagnostic equipment to reduce costly interventions, and long waiting lists."
